나랏말싸미,10,우리나라 말이 중국과 달라 한자와는 서로 통하지 아니하니 백성이 말하고자 하여도 제 뜻을 능히 펴지 못함이라. 내가 이를 불쌍히 여겨 새로 스물여덟 자를 만드노니 사람마다 하여금 쉽게 익혀 날로 씀에 편안하게 하고자 할 따름이니라.
더 보이,7,쌍살벌은 애벌레를 다른 벌이키우게 만들고...결국엔 포식자로 돌아갈뿐....주인공 꼬마가 한줄요약해줌...
마담 싸이코,6,초반 긴장감과 이자벨 위페르의 연기력에 박수.
어바웃 타임,10,언제봐도 하루하루를 소중하게 느낄 수 있게 해주는 영화
그것: 두 번째 이야기,2,진짜 하나하나 내용 왜보여주는걸까앞에 2시간은 너무지루했고하도 길어서 마지막에는 무서운게 내성이생겼다ㅎ
안녕 베일리,10,감동과 따뜻한 사랑이 있는 최고의 영화
봉오동 전투,6,영화 상영시간 내내 눈물이 나와 힘든건 사실이었지만 중간중간 감정 추스리고 영화로만 대했을때의 실망감은 어쩔수가 없네요 국뽕영화는 좋습니다 역사를 기억할수 있게 해주는건 좋은데요 영화적 기법은 정말이지 개탄스럽네요 할많하않
패신저스,10,공감순 평점보면 어이없음ㅋㅋㅋㅋ 영화를 영화로 감상해야지 무슨 현실인것마냥 댓글담ㅋㅋ너무 재밌게봤습니다 오래기억에 남을것같아요
유열의 음악앨범,8,믿고보는 배우들이 나온 영화라서 기대하구 봤는데 실망시키지 않네요 감동 그 자체네요♡♡♡♡
봉오동 전투,10,역사를 잊으면 안된다!
오직 그대만,10,정말 영화같이 잘 만든 영화.. 영화라서 가능한 사랑스토리일까 잠시동안이지만 영화같은 사랑을 하고온거같다..
47미터 2,5,깜짝 놀랄만한 장면이 다소 많이 나오지만 영화를 보고 나서 감동이 전혀 남지가 않네요.. 애를 많이 썼지만 뭔가 안타가운 그런 영화입니다.
그것: 두 번째 이야기,6,무서운건 좋은데 뭔가 짬뽕 어수선
업사이드,8,실화라고 믿기 어려운 스토리.'부'에 대해서 이런 저런 생각을 해보게 되는 영화.
디파티드,10,무간도를 안봐서그런지 흠잡을데 없는 명작
암전,2,어두워서 볼수가없어ㅡㅡ
그녀를 믿지 마세요,10,배우들 나이가 참 어렸네요
변신,8,재미짱 함게 관람합시다
유열의 음악앨범,8,"스토리의 개연성은 부족했지만 오랫만에 갬성충만하게 해준 영화 ^^75,76년생 여자분들은 나름 볼만하실듯 딱 그 나이때 이야기거든요~뭔가 아련하고 안타깝고 그랬어요 함께간 친구랑 저랑 훌쩍훌쩍 펑펑 울면서 봤네요~ㅜ가볍게 보시기엔 괜찮아요~"
택시: 더 맥시멈,10,킬링타임으로 보기 딱좋은 영화
그것: 두 번째 이야기,9,흥미진진한 과거와 현재의 조화. 더 소름끼치게 돌아온 괴물. 끝날 듯 끝나지 않는 그런 스릴이 있다.
내 생애 가장 아름다운 일주일,10,재미있게잘보았어요강추합니다
브루스 올마이티,10,웃기고 뭉클하다. 오직 짐 캐리만이 표현해 낼 수 있는 해학.
레드슈즈,10,아. 한국적 애니.. 넘 재밌어여
엑시트,6,재밌었어요~윤아 연기 잘해요!
데드 캠프,8,한때 이런 영화 엄청난 인기였는데.. 그래두 재밋네요.
유열의 음악앨범,10,그냥 평범하게 잔잔하게 듣고 보는 영화
벌새,5,"일기장 같은 영화. 나열식의 전개와 과한 의미부여, 그리고 작위적인 설정까지."
유열의 음악앨범,1,중간에 나왔습니다^^ 시간 절약 잼
유열의 음악앨범,1,"2분간격으로 광고를 모아놓은 영상물...도대체 개연성도 없고, 스토리 연결도 안되고...사랑과 이별에 대한 이해도 없고... 최악의 멜로로 기억될듯"
유열의 음악앨범,1,솔직히 재미없었음... 초딩 스타일 아닌가봄이럴 바에는 헬로 카봇 보지.
엑스맨: 다크 피닉스,8,진그레이에 집중한 다크피닉스... 시리즈의 마무리로는 별로였지만 개별영화로서의 결말은 괜찮았음.
꼬마 물고기 이자벨: 바다 대모험,1,그래픽 OOO기에 애들 보기에 정서도 안좋네요. 이상하게 생겼다고 따돌림 시키고
알라딘,10,OST너무 좋아~10말고10000점~
암전,2,이 영화 큰 틀은 해외시리즈에 비슷하게 나왔었죠 거기서 따온것같고.영화관 상영작으로는 좀
사자,10,중간중간 뭉클하기도 하고 기대없이 봐서 그런지 정말 재밌었어요
유열의 음악앨범,10,영화 봤는데 개연성없다는 이야기가 왜 나오는건지 모르겠네요. 각자 상처가 있는 사람들이 그 감정에 의해 흘러가는 자연스러운 흐름이어서 몰입이 잘되던데.. 너무 재미있었습니다
비스트,2,와 조잡하고 난잡하고 진짜 너무 실망..
유열의 음악앨범,10,뻔한 클리셰인듯 하면서 카메라 구도나 인물과 배경을 잡아나가는 방식이 굉장히 섬세했음 너의 결혼식보다 훨씬 안 뻔하고 기분 좋게 본 영화
스타워즈 에피소드 3 - 시스의 복수,10,비로소 이게 스타워즈지 라고 감탄하게 만든 대작이다. 진짜 몇번을 봐도 질리지 않는.... 너무 재밌게 봤다
엑시트,10,진짜 재밌게 잘 봤어요.그리고 이 영화는 과자도 못먹게해요.ㅋ그만큼 스릴있었어요!
그것: 두 번째 이야기,6,공포 영화인가 하고 봤는데...어른들을 위한 판타지영화~~ 나름 신선하네요.
행복한 라짜로,9,나무같이 한결같이 푸르르게 존재하는 성자여!
스타워즈 에피소드 2 - 클론의 습격,5,초중반부까지 너무 지루했다. 스타워즈라는것을 잊어버릴 정도. 후에는 꽤 흥미진진
마녀,10,이런 액션 좋음. 넘 재밌어요!!
봉오동 전투,6,잘 만든 영화는 아닌듯...
스타워즈: 에피소드 1 - 보이지 않는 위험,4,만약 4편을 처음으로 보지 않고 1편부터 봤으면 스타워즈를 더이상 안봤을지도 모른다
안녕 베일리,10,너무 사랑스럽개ㅠㅠㅠㅠ
고질라: 킹 오브 몬스터,5,"괴수연출은 볼만한데, 드라마가 영~ . 지 딸은 목숨바쳐 사랑하는 박사라는 년이 지구청소해야한다고 수억의 아들딸들을 죽여? 드라마가 중학생 관람용."
안녕 베일리,10,힐링되요 잔잔하게 즐기기좋은영화.!
돈,4,류준열 갑자기 옷을 왜 벗지?.... 재미있다가 갑자기 개연성이 너무 떨어짐. 연기하기 힘들었겠다...그리고 원진아 연기 너무 심각함. 한결같은 표정과 말투... 공부좀 하시길.
유열의 음악앨범,10,"옛날배경,노래 누군가를 좋아했다면 겪어봤을 감정선 생각한대로의 영화라 좋았고 흐름이 딱히 개연성이없다고 생각들진않았다"
인서전트,8,보면서 제일 많이 찾은 놈 셋 에릭새끼 피터새끼 케일럽새끼
벌새,10,"천하에 얼굴 아는 이 많지만, 마음을 아는 이 몇인가?"
극장판 헬로카봇 : 달나라를 구해줘!,10,아이가 잼있다고 하네요
럭키,6,가족들이랑 보기 그렇구 걍 심심풀이지
레드슈즈,10,재밌었다. 또 보고싶다.
아저씨,10,몇번봐도 개꿀잼...
봉오동 전투,10,1점테러한 벌래샛기들 이땅에 살 자격이 없다일본놈들 머리통 날라갈때마다 통쾌
엑시트,10,진짜 너무재밌어서 두번봤어요 재난영화 즐겨보지 않았는데 편견을 깨준것같아요 사람 살려~ 주세요~~ 자꾸생각남
안녕 베일리,10,1보단 못할줄 알았는데 정말 마음 따뜻해지는 영화네요 감동적이였습니다
그것: 두 번째 이야기,10,개꿀잼 꼭봐라 ㅇㄱㄹㅇ
모범시민,6,제목에 어울리지 않게 움직이는 우리의 주인공
킹 아더,4,아더왕 시리즈는 꾸준히 이어지는게 없네
47미터 2,6,긴장감은 정말 좋았는데 막판 자매가 맞이한 상어는 너무 억지스러웠다. 그래도 그냥 그런데로 볼만했던거 같다.
봉오동 전투,10,"재미있게 정말 잘 만들었네. 배우들 연기 괜찮고,특히 쪽발이 역으로 박지환 연기 정말 잘함.다른 영화에서도 박지환 연기는 볼때마다 정말 쪽발이연기는 최고 인듯."
케이트 앤 레오폴드,6,시대에 맞지않더라도 이루어지는 사랑이라.
암전,2,주연배우의 연기력도 문제지만.. 청불로 만들어도 무서울까 말까한데 이건 15세로 만든 감독의 탐욕이 보인다. 대충대충 뿌려대는 cg까지..최악이다.
사자,1,평점이 왜이리높나요? 알바들천지인가봄.배우들연기로도 가릴수없는 재미없는연출..실망이네요
엑시트,6,기대하고 봐서인지 빅재미는 없엇음 중박정도화학전시 대피요령을 알려주는 재미난 공익광고정도의 재미 900만 넘은게 신기함
봉오동 전투,10,그냥 유해진 연기가 소름그자체다 명작영화입니다 꼭보세요
폐교,1,1점이 쵝오 인가요? 0.1점도 아깝고요 시간 낭비 돈낭비
유열의 음악앨범,1,"보는 내내 뛰쳐나가고 싶었던 영화...모임에서 간거라 나갈 수도 없었어요러닝타임도 122분라니 ,,,정말 고통스러운 긴긴 시간이였어요 ㅠㅠㅠㅠ실제로 영화 도중에 나가는 사람들도 봤네요,,하,,,,"
봉오동 전투,8,한번쯤 볼 만한 영화. 재미도 있고.연기도 다들 잘 하고. 역사도 배우고.
사바하,8,1~2점 받을 영화는 절대아닌데 평이 박하네ㅋㅋㅋ 머리가 나빠서 해석이안되면 검색이라도 좀 하세요..
애나벨 집으로,6,다니엘라 나올때가 제일 무서움 저년이 또 나대다가 사고칠까봐
건달티처,10,샘이 떠나는 장면을보고 눈물을 흘렸다. 1점 알바가 득실대는 다른리뷰는 영화를 제대로 보고 쓴 글이 아닌것같다. 선생과 아버지의 딜레마와 학생과의 딜레마를 제대로 표현한 작품이고 이것은 한국영화의 새로운 패러다임을 소개한다. 다세포소녀이후로 최고의작품
광대들: 풍문조작단,10,ㅋㅋㅋ 노무현 나왔으면 10점 줄사람들이 1점 줬다본다.
안나,10,"제 인생영화입니다ㅋㅋㅋㅋ 스토리, 액션 모두 깔끔함"
봉오동 전투,10,요즘은 현실 찌질이 일버리지들이 이런 곳에 와서도 평점 테러하냐? ㅋㅋ 정말 하다하다 측은한 마음까지 든다. 영화 볼만합니다.
사자,2,이게영화 니 초등학생수준이네최악
스파이더맨: 홈커밍,1,자막을 내놓으세요. 자막이 갑자기 끊겨서 볼 수가 없습니다.
그것: 두 번째 이야기,10,1편보다 재밌습니다.
선생 김봉두,8,평이한 내용이지만 아역배우와 차승원이 살렸다
명탐정 피카츄,6,생각보다 잘 만들었음. 포켓몬을 알고 바야 재미있음. 왜냐면 지나가는 포켓몬을 보고 아는 거면 반갑거든요.
호텔 뭄바이,10,공포 그 자체.... 너무 무섭다
유열의 음악앨범,6,"Bgm, 배경 다 좋은데 내용이 없네요...뭔가 뜬금포로 개연되는 느낌.."
어바웃 타임,10,썸녀와 보고 내여자가 되었네요
"그 시절, 우리가 좋아했던 소녀",10,웃기고 오글거리고 재밌고 감동적이고 쓸쓸하고 그리운 영화였다..
엑시트,10,천만 가자 제발. 재난 영화 특유의 클리셰가 없음으로도 충분하다
봉오동 전투,3,영화가 감동이 부족한거같다...독립군나오는영화3.1운동영화맞냐?액션씬볼라고 만든영화인가
그것: 두 번째 이야기,10,에디는 진짜 에디가 큰 줄 알았네.보러가실 분들은 꼭 1편 보고 보세요!!! 169분 그냥 순삭
유열의 음악앨범,1,90년대 영화냐 ㅋㅋㅋ
